Accession, Serotype
LN713671, Bluetongue virus
JN255156, Bluetongue virus
JN671906, Bluetongue virus
KP268774, Bluetongue virus
KU234257, Bluetongue virus 1
JQ771823, Bluetongue virus 23
KF664113, Bluetongue virus 1
JQ713557, Bluetongue virus 2
JX003687, Bluetongue virus
JQ924820, Bluetongue virus 16
KF664123, Bluetongue virus 1
JX399148, Bluetongue virus
KF664133, Bluetongue virus 16
KF664103, Bluetongue virus 16
JQ771813, Bluetongue virus
JX272399, Bluetongue virus 23
KP820885, Bluetongue virus 1
KP820865, Bluetongue virus 16
KP820867, Bluetongue virus 16
KP820869, Bluetongue virus 16
KP820960, Bluetongue virus 9
JN255902, Bluetongue virus 9
KP820959, Bluetongue virus 9
KP820973, Bluetongue virus 9
KP820972, Bluetongue virus 9
KP820870, Bluetongue virus 16
JN255912, Bluetongue virus 9
JF443166, Bluetongue virus 9
KC662612, Bluetongue virus 12
GU390658, Bluetongue virus
JQ240321, Bluetongue virus 2
JQ086241, Bluetongue virus 2
JX560413, Bluetongue virus 4
KM099512, Bluetongue virus 1
KM099513, Bluetongue virus 1
KM099514, Bluetongue virus 1
KM099515, Bluetongue virus 1
KM099518, Bluetongue virus 1
KM099520, Bluetongue virus 1
KC879615, Bluetongue virus 1
JN881985, Bluetongue virus 1
KM099506, Bluetongue virus 1
KM099508, Bluetongue virus 1
JQ086271, Bluetongue virus 23
JQ086281, Bluetongue virus 3
JQ086291, Bluetongue virus 7
JQ086301, Bluetongue virus 9
KM099509, Bluetongue virus 1
KM099510, Bluetongue virus 1
KM099511, Bluetongue virus 1
KM099522, Bluetongue virus 1
JQ086261, Bluetongue virus 21
KM099507, Bluetongue virus 1
JQ086221, Bluetongue virus 15
JQ086251, Bluetongue virus 20
JQ086231, Bluetongue virus 16
EF059720, Bluetongue virus 1
EF059730, Bluetongue virus 12
EF059728, Bluetongue virus 9
KP196603, Bluetongue virus
KF017513, Bluetongue virus 15
KP820978, Bluetongue virus 15
KP820940, Bluetongue virus 4
JX889180, Bluetongue virus 24
JX889215, Bluetongue virus 24
JX889192, Bluetongue virus 24
KF584217, Bluetongue virus 24
KF017520, Bluetongue virus 24
JX889218, Bluetongue virus 24
KF584219, Bluetongue virus 24
KP268814, Bluetongue virus
KP820966, Bluetongue virus 9
KP820967, Bluetongue virus 9
KC853052, Bluetongue virus
JX272389, Bluetongue virus 22
KP820916, Bluetongue virus 2
KP820902, Bluetongue virus 1
JX272369, Bluetongue virus 24
KP820974, Bluetongue virus 14
JQ681257, Bluetongue virus
JX272599, Bluetongue virus 2
JN255922, Bluetongue virus 2
JN255932, Bluetongue virus 2
FJ969719, Bluetongue virus
JX272439, Bluetongue virus 18
JX272379, Bluetongue virus 1
KP820897, Bluetongue virus 1
JX272519, Bluetongue virus 10
KP820907, Bluetongue virus 2
JX272569, Bluetongue virus 5
JX272549, Bluetongue virus 7
JX272479, Bluetongue virus 14
KP820976, Bluetongue virus 14
KP820975, Bluetongue virus 14
KP820977, Bluetongue virus 14
KP820863, Bluetongue virus 14
JX272499, Bluetongue virus 12
JX272579, Bluetongue virus 4
KM233614, Bluetongue virus 4
KP820927, Bluetongue virus 4
JN255942, Bluetongue virus 4
JX272489, Bluetongue virus 13
JX272529, Bluetongue virus 9
JN255962, Bluetongue virus 9
JN255952, Bluetongue virus 9
KP820920, Bluetongue virus 4
KP820921, Bluetongue virus 4
KP820933, Bluetongue virus 4
JX272559, Bluetongue virus 6
JX272589, Bluetongue virus 3
KP820919, Bluetongue virus 3
KP820878, Bluetongue virus 1
JX272429, Bluetongue virus 19
JN546211, Bluetongue virus
KF017523, Bluetongue virus
KF017478, Bluetongue virus 4
KF017494, Bluetongue virus 4
KF017503, Bluetongue virus 4
JX889174, Bluetongue virus 24
KF017498, Bluetongue virus 4
KF017477, Bluetongue virus
KF017496, Bluetongue virus 4
JN546202, Bluetongue virus
KF017479, Bluetongue virus 2
KF017500, Bluetongue virus 4
KF017499, Bluetongue virus 4
JX861498, Bluetongue virus 1
KP820945, Bluetongue virus 4
KP820953, Bluetongue virus 8
KU569990, Bluetongue virus 8
KP820979, Bluetongue virus 8
KP820957, Bluetongue virus 8
FJ183374, Bluetongue virus 8
KP820862, Bluetongue virus 8
KF017504, Bluetongue virus 8
KP820954, Bluetongue virus 8
KM053258, Bluetongue virus 8
KP820861, Bluetongue virus 8
KF017506, Bluetongue virus 8
KF017508, Bluetongue virus 8
KP820951, Bluetongue virus 4
KP820955, Bluetongue virus 8
KP820922, Bluetongue virus 4
KP820926, Bluetongue virus 4
KP820936, Bluetongue virus 4
KP820937, Bluetongue virus 4
KP820938, Bluetongue virus 4
JN546203, Bluetongue virus
JN546204, Bluetongue virus
